TOTAL_INSTANCES 500

INSTANCE TD_UNIQUE_C_100_001
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
62 65 72 74 83 84 84 85 85 87 87 91 91 91 91 94 95 96 97 100 100 103 105 106 106 107 111 111
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.14
300      600      0.49
600      1000     1.47
1000     2000     0.98
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
53 61 62 63 65 67 68 74 78 78 83 87 90 91 95 96 96 97 97 97 100 100 100 102 103 103 105 105
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.02
300      600      0.42
600      1000     1.47
1000     2000     1.07
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        6       55      25      376         482       10
2        28      72      24      273         366       18
3        62      50      15      220         312       13
4        27      67      23      302         409       11
5        86      51      16      402         493       20
6        17      88      10      504         601       19
7        82      74      15      335         422       17
8        14      83      24      523         618       11
9        71      16      12      448         548       14
10       37      85      15      444         521       15
11       63      81      25      362         441       10
12       18      81      17      421         497       11
13       48      20      11      263         326       17
14       5       90      16      578         648       19
15       100     39      20      535         598       16
16       41      74      11      248         326       15
17       60      35      24      230         300       17
18       14      66      19      455         519       16
19       64      0       20      513         596       18
20       18      98      13      537         643       19
21       77      10      11      496         573       10
22       32      76      24      401         500       10
23       14      86      13      433         511       11
24       26      69      20      280         366       13
25       77      87      15      470         562       13
26       27      73      14      416         501       11
27       63      81      11      337         444       14
28       14      77      24      409         486       14
29       90      16      18      484         563       10
30       27      66      24      384         463       10
31       60      15      21      314         400       17
32       42      95      23      416         484       13
33       0       56      14      439         516       20
34       29      71      23      390         461       17
35       76      6       11      480         542       15
36       31      69      14      295         365       20
37       22      51      10      297         404       19
38       0       93      11      657         766       13
39       44      21      25      255         325       13
40       25      78      19      318         390       12
41       40      80      12      266         341       19
42       21      85      10      483         560       14
43       24      17      11      360         465       15
44       19      91      12      556         651       11
45       11      94      19      596         657       10
46       18      73      23      430         501       16
47       89      17      15      472         549       19
48       24      71      12      322         421       14
49       4       38      12      538         622       20
50       26      100     21      518         608       13
51       34      11      19      440         507       14
52       26      70      16      379         471       14
53       41      1       24      449         557       10
54       21      78      20      407         515       14
55       66      0       12      574         665       19
56       35      65      17      326         396       19
57       100     34      11      572         643       11
58       26      57      15      251         346       17
59       62      53      17      189         250       10
60       18      83      23      471         580       10
61       91      11      25      555         627       14
62       28      63      12      305         384       10
63       49      90      25      457         553       14
64       23      85      15      444         521       14
65       27      91      10      409         493       19
66       33      76      20      342         402       11
67       4       95      18      620         725       11
68       28      86      15      396         500       18
69       75      64      20      264         336       13
70       20      80      16      396         485       15
71       49      13      11      336         419       15
72       19      85      18      413         508       12
73       48      53      24      90          179       16
74       21      74      21      360         424       18
75       1       11      13      633         738       17
76       33      80      17      420         520       13
77       17      16      25      496         558       17
78       19      80      17      421         498       16
79       49      48      15      30          110       10
80       19      87      15      444         533       19
81       93      22      19      443         542       12
82       36      85      10      345         453       19
83       100     44      10      494         572       13
84       8       100     13      561         666       12
85       53      52      17      55          140       13
86       20      74      15      360         454       14
87       50      35      11      170         274       20
88       17      85      14      531         637       11
89       90      30      13      429         523       14
90       11      100     14      620         680       11
91       55      67      25      265         351       10
92       22      73      19      419         484       19
93       34      87      19      408         473       11
94       21      84      18      485         578       15
95       52      87      22      389         485       15
96       28      63      22      305         395       16
97       75      87      24      473         576       18
98       24      89      11      500         572       11
99       81      22      14      360         430       20
100      11      81      12      491         594       19

INSTANCE TD_UNIQUE_RC_25_007
LAYOUT RC
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
57 72 73 74 77 89 91 92
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.26
300      600      0.69
600      1000     1.49
1000     2000     1.04
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        76      54      15      180         243       17
2        31      67      19      285         351       20
3        45      80      20      240         341       18
4        23      76      15      303         394       11
5        43      57      13      151         230       13
6        21      85      10      370         475       11
7        44      73      11      275         373       10
8        34      71      18      232         330       17
9        0       9       13      501         568       20
10       36      72      24      231         334       17
11       90      95      17      476         561       13
12       29      77      14      238         313       19
13       33      6       19      372         473       20
14       30      74      22      322         404       18
15       48      80      16      239         338       19
16       23      82      21      371         469       12
17       83      9       24      449         553       14
18       15      67      22      273         335       11
19       100     39      24      358         463       14
20       26      83      21      381         479       13
21       2       10      19      416         515       11
22       38      83      11      352         441       19
23       93      28      18      333         426       20
24       20      99      19      409         476       16
25       83      89      20      327         392       11

INSTANCE TD_UNIQUE_C_50_008
LAYOUT C
CUSTOMERS 50
TOTAL_VEHICLES 15
VEHICLE_CAPACITIES
66 69 69 69 73 76 84 85 91 95 98 98 99 100 100
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.18
300      600      0.48
600      1000     1.59
1000     2000     0.9
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1100       0
1        1       16      22      110         181       14
2        80      19      20      200         284       10
3        58      72      14      489         549       13
4        11      19      17      278         344       16
5        76      19      25      485         587       12
6        64      78      21      566         664       10
7        25      11      11      281         379       19
8        84      30      24      235         315       13
9        53      92      21      462         567       19
10       17      23      19      253         327       11
11       81      28      16      417         503       19
12       62      77      24      492         596       17
13       28      14      18      172         273       17
14       77      12      10      233         300       14
15       50      81      20      595         655       14
16       16      25      22      271         346       17
17       89      16      23      233         315       16
18       35      71      20      600         669       10
19       22      23      11      254         315       14
20       88      11      18      261         369       14
21       46      91      12      392         462       11
22       2       14      10      26          129       16
23       81      15      20      417         520       18
24       54      79      16      436         544       10
25       30      25      10      26          106       18
26       75      24      14      473         562       20
27       32      76      20      401         464       16
28       29      20      16      196         300       16
29       86      6       10      455         537       13
30       43      76      24      511         596       18
31       25      35      25      80          175       17
32       79      17      15      206         313       13
33       53      79      21      461         546       20
34       29      25      25      175         267       19
35       77      18      16      376         440       15
36       61      81      18      466         537       10
37       25      28      21      199         273       13
38       77      24      16      352         430       15
39       47      84      20      449         509       13
40       13      14      20      1           95        16
41       83      20      14      476         567       19
42       41      70      19      390         454       20
43       3       17      24      124         209       19
44       91      28      13      416         492       10
45       59      83      22      536         596       19
46       12      22      11      224         306       18
47       79      10      24      307         406       13
48       55      77      18      438         524       11
49       22      19      23      122         201       19
50       78      28      24      257         365       13

INSTANCE TD_UNIQUE_C_100_009
LAYOUT C
CUSTOMERS 100
TOTAL_VEHICLES 28
VEHICLE_CAPACITIES
60 65 71 71 78 78 78 79 79 81 82 84 85 88 89 92 95 96 99 100 101 103 104 104 104 104 105 105
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.18
300      600      0.55
600      1000     1.21
1000     2000     1.06
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           1300       0
1        26      8       16      183         289       10
2        72      26      20      417         508       15
3        57      66      11      550         659       14
4        12      3       17      8           115       19
5        67      15      15      291         382       19
6        46      87      14      413         502       14
7        16      9       17      222         302       10
8        74      14      11      307         390       10
9        46      75      24      441         535       14
10       21      25      15      262         360       15
11       87      27      15      209         270       10
12       40      80      14      565         638       19
13       21      21      20      293         356       15
14       85      23      10      435         522       15
15       52      66      10      637         707       17
16       25      25      12      272         379       18
17       88      22      18      301         398       12
18       51      75      16      557         634       11
19       22      15      16      297         403       15
20       85      15      24      222         316       11
21       42      69      13      476         570       14
22       24      14      19      286         362       14
23       76      19      20      262         338       11
24       67      81      24      360         425       13
25       28      19      15      234         323       12
26       65      6       22      341         446       12
27       42      80      20      634         732       15
28       9       28      22      272         370       16
29       85      10      23      322         395       13
30       47      74      19      386         451       17
31       13      29      22      111         174       19
32       82      11      15      209         301       19
33       53      89      11      561         657       20
34       16      15      22      209         300       15
35       84      19      23      415         507       10
36       46      75      15      594         694       13
37       24      9       12      177         260       16
38       85      22      17      452         547       18
39       44      78      11      417         511       13
40       20      12      14      67          172       10
41       74      24      25      297         379       14
42       46      70      16      443         527       17
43       18      23      16      285         350       11
44       76      31      14      418         498       12
45       54      85      14      421         497       11
46       16      21      12      74          182       16
47       90      27      14      419         527       10
48       36      77      17      573         639       13
49       7       25      13      239         334       12
50       79      24      17      290         393       10
51       62      82      22      612         722       15
52       22      27      22      256         340       20
53       71      20      23      329         423       18
54       54      75      17      515         616       20
55       17      18      18      104         214       17
56       80      10      23      229         294       12
57       42      83      20      632         708       12
58       5       14      16      289         373       19
59       73      24      20      382         443       18
60       47      79      25      608         676       13
61       17      19      15      242         336       19
62       86      14      16      473         582       10
63       52      83      11      470         563       12
64       6       20      13      69          129       10
65       90      20      19      475         582       16
66       55      77      10      501         597       18
67       25      18      19      220         329       16
68       73      24      21      494         563       19
69       50      81      16      370         478       15
70       23      10      14      43          103       14
71       80      16      19      317         415       11
72       47      83      23      456         536       12
73       21      15      13      130         225       12
74       85      24      17      377         457       10
75       57      72      10      613         689       20
76       17      34      17      0           62        18
77       66      25      20      485         595       19
78       51      76      12      560         639       14
79       14      15      13      64          171       14
80       80      14      11      377         477       12
81       41      91      13      529         607       16
82       5       17      23      8           95        14
83       76      29      19      382         467       16
84       56      83      19      422         493       16
85       18      14      13      169         253       17
86       86      25      18      426         534       10
87       58      84      10      495         566       14
88       28      11      16      284         350       19
89       84      27      21      423         516       12
90       53      76      16      418         495       14
91       26      10      10      15          98        13
92       74      12      24      250         317       12
93       54      77      22      488         573       18
94       18      11      11      143         206       19
95       78      16      12      485         570       15
96       51      77      17      562         663       19
97       5       19      25      257         338       20
98       94      7       25      231         329       18
99       39      87      15      466         550       13
100      15      19      23      144         254       17

INSTANCE TD_UNIQUE_R_25_010
LAYOUT R
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
60 63 65 67 76 78 83 85
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.14
300      600      0.29
600      1000     1.2
1000     2000     0.94
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        23      12      20      352         421       13
2        29      32      24      304         388       10
3        7       74      24      372         449       11
4        53      8       12      331         409       14
5        16      45      10      204         280       10
6        55      48      16      125         195       15
7        47      1       13      348         429       19
8        72      1       21      436         532       19
9        96      14      12      371         437       10
10       77      30      12      309         392       16
11       88      32      11      246         308       16
12       15      38      16      255         362       12
13       76      6       21      431         526       15
14       11      74      23      388         459       14
15       79      24      10      283         365       20
16       25      44      13      201         266       16
17       11      95      21      472         577       14
18       22      8       14      333         409       13
19       26      65      10      226         290       11
20       66      5       14      352         418       18
21       36      55      14      114         183       15
22       14      86      16      434         523       20
23       64      4       18      347         426       13
24       31      25      15      204         305       15
25       30      5       16      358         439       17

INSTANCE TD_UNIQUE_C_25_011
LAYOUT C
CUSTOMERS 25
TOTAL_VEHICLES 8
VEHICLE_CAPACITIES
51 60 61 66 83 88 92 94
M_INTERVALS 4
START    END      SPEED_MULTIPLIER
0        300      1.15
300      600      0.47
600      1000     1.39
1000     2000     0.9
CUSTOMER_DATA
CUST_NO  XCOORD  YCOORD  DEMAND  READY_TIME  DUE_DATE  SERVICE_TIME
0        50      50      0       0           900       0
1        10      14      11      183         285       15
2        88      30      12      402         497       19
3        46      98      23      479         564       15
4        32      23      22      55          129       19
5        80      18      12      238         305       16
6        63      82      15      387         480       17
7        8       14      15      188         262       15
8        86      23      25      488         549       12
9        63      84      19      435         496       16
10       11      12      12      256         352       18
11       81      12      18      410         505       17
12       48      84      23      406         481       19
13       2       7       21      109         204       13
14       82      13      25      378         440       12
15       59      83      23      460         531       14
16       19      2       14      150         229       17
17       61      15      17      341         439       20
18       50      79      19      439         508       11
19       22      24      16      18          106       16
20       77      27      19      241         312       13
21       53      68      10      553         615       13
22       17      26      19      3           108       12
23       84      18      16      282         363       10
24       46      92      15      408         506       16
25       15      26      21      205         268       19

INSTANCE TD_UNIQUE_R_25_012
